timestamp,value1,value2
1728496187.834772,479,0
1728496187.838885,480,5
1728496187.843182,561,10
1728496187.844929,655,15
1728496187.8470361,731,20
1728496187.8496177,671,25
1728496187.8512883,574,30
1728496187.8536575,480,35
1728496187.8555834,478,40
1728496187.857147,479,45
1728496187.8587792,467,50
1728496187.8603845,478,55
1728496187.8621786,480,60
1728496187.8637524,495,65
1728496187.865294,575,70
1728496187.86684,596,75
1728496187.8687227,745,80
1728496187.870169,749,85
1728496187.871743,670,90
1728496187.873282,545,95
1728496187.8751273,479,100
1728496187.8765252,479,105
1728496187.8782003,479,110
1728496187.879972,464,115
1728496187.8818102,463,120
1728496187.883338,480,125
1728496187.88553,510,130
1728496187.8869855,597,135
1728496187.8888452,589,140
1728496187.89031,770,144
1728496187.8920152,682,149
1728496187.8935442,583,154
1728496187.8953404,489,159
1728496187.896804,480,164
1728496187.898365,479,169
1728496187.8999705,456,174
1728496187.9015138,470,179
1728496187.9031758,480,184
1728496187.9047942,479,189
1728496187.9075985,480,194
1728496187.9092906,523,199
1728496187.9119313,673,204
1728496187.9137974,728,208
1728496187.915221,595,213
1728496187.9168053,507,218
1728496187.9186149,480,223
1728496187.9203765,477,228
1728496187.922043,471,233
1728496187.923609,466,238
1728496187.9252443,479,243
1728496187.9268205,478,247
1728496187.9284105,480,252
1728496187.9299762,521,257
1728496187.931536,543,262
1728496187.9334009,709,267
1728496187.9355495,666,272
1728496187.9371512,556,276
1728496187.9387867,479,281
1728496187.9407744,479,286
1728496187.9420178,469,291
1728496187.9435892,476,296
1728496187.9450903,472,300
1728496187.9468966,467,305
1728496187.9482555,480,310
1728496187.949783,480,315
1728496187.951515,526,319
1728496187.9530165,672,324
1728496187.954623,771,329
1728496187.9561691,672,333
1728496187.9577858,542,338
1728496187.9596918,480,343
1728496187.9611015,478,348
1728496187.9634507,479,352
1728496187.965579,467,357
1728496187.968614,479,362
1728496187.9701486,480,366
1728496187.9719667,480,371
1728496187.9734695,558,376
1728496187.975063,610,380
1728496187.976595,761,385
1728496187.9781694,724,389
1728496187.979984,616,394
1728496187.9815204,535,399
1728496187.9830828,480,403
1728496187.9851737,480,408
1728496187.9866836,479,412
1728496187.9882946,464,417
1728496187.9898684,476,421
1728496187.991425,480,426
1728496187.9931095,513,430
1728496187.9945552,568,435
1728496187.9960876,643,439
1728496187.9976335,734,444
1728496187.9995983,666,448
1728496188.0007713,600,453
1728496188.0028744,479,457
1728496188.0044894,479,462
1728496188.0061226,470,466
1728496188.0081892,469,471
1728496188.0097578,479,475
1728496188.011311,476,479
1728496188.0130608,480,484
1728496188.0145252,480,488
1728496188.0160499,529,493
1728496188.0184126,659,497
1728496188.0203106,680,501
1728496188.02217,581,506
1728496188.0241473,495,510
1728496188.0265255,478,514
1728496188.02859,475,518
1728496188.0301342,471,523
1728496188.031896,459,527
1728496188.0338712,475,531
1728496188.0356586,480,535
1728496188.0371466,480,540
1728496188.0387974,516,544
1728496188.0403986,565,548
1728496188.0419893,684,552
1728496188.0436316,617,556
1728496188.0452523,580,561
1728496188.0470085,480,565
1728496188.0486345,471,569
1728496188.05017,475,573
1728496188.052255,472,577
1728496188.0541494,449,581
1728496188.055763,478,585
1728496188.057264,480,589
1728496188.058859,489,593
1728496188.0608485,590,597
1728496188.0622725,726,601
1728496188.0638878,716,605
1728496188.0654664,654,609
1728496188.0671265,581,613
1728496188.0691593,479,617
1728496188.0705452,479,621
1728496188.0721154,474,625
1728496188.0740666,473,629
1728496188.075754,477,633
1728496188.0773742,480,637
1728496188.0789757,510,640
1728496188.080684,593,644
1728496188.082736,610,648
1728496188.085538,763,652
1728496188.088255,677,656
1728496188.0902963,602,659
1728496188.092343,484,663
1728496188.0945122,470,667
1728496188.09659,479,671
1728496188.0984528,466,674
1728496188.1002958,477,678
1728496188.1020455,480,682
1728496188.103696,480,685
1728496188.1053147,551,689
1728496188.1073966,598,693
1728496188.108999,725,696
1728496188.1106365,732,700
1728496188.1122699,657,703
1728496188.1141388,559,707
1728496188.115677,479,710
1728496188.1172671,474,714
1728496188.1191528,476,717
1728496188.1210804,462,721
1728496188.1227572,466,724
1728496188.1243699,479,728
1728496188.1260135,480,731
1728496188.1278546,527,735
1728496188.1293013,586,738
1728496188.1309164,666,741
1728496188.132679,623,745
1728496188.1346695,548,748
1728496188.1374788,480,751
1728496188.139096,467,755
1728496188.140631,478,758
1728496188.1424644,477,761
1728496188.1440196,471,764
1728496188.1455283,477,768
1728496188.147129,480,771
1728496188.149099,480,774
1728496188.150507,538,777
1728496188.1525905,692,780
1728496188.1543283,658,783
1728496188.1563003,609,786
1728496188.1580086,480,790
1728496188.1596608,479,793
1728496188.1615705,473,796
1728496188.1640587,475,799
1728496188.1657455,473,802
1728496188.167352,472,805
1728496188.1689947,479,808
1728496188.1706772,486,810
1728496188.1722496,607,813
1728496188.1740613,598,816
