timestamp,value1,value2,hand,gesture
1728496187.834772,479,0,0,Open
1728496187.838885,480,5,0,Open
1728496187.843182,561,10,0,Open
1728496187.844929,655,15,0,Open
1728496187.847036,731,20,0,Open
1728496187.8496175,671,25,0,Open
1728496187.8512883,574,30,0,Open
1728496187.8536575,480,35,0,Open
1728496187.8555834,478,40,0,Open
1728496187.857147,479,45,0,Open
1728496187.8587792,467,50,0,Open
1728496187.8603845,478,55,0,Open
1728496187.8621786,480,60,0,Open
1728496187.8637524,495,65,0,Open
1728496187.865294,575,70,0,Open
1728496187.86684,596,75,0,Open
1728496187.868723,745,80,0,Open
1728496187.870169,749,85,0,Open
1728496187.871743,670,90,0,Open
1728496187.873282,545,95,0,Open
1728496187.8751273,479,100,0,Open
1728496187.8765252,479,105,0,Open
1728496187.8782003,479,110,0,Open
1728496187.879972,464,115,0,Open
1728496187.8818102,463,120,0,Open
1728496187.883338,480,125,0,Open
1728496187.88553,510,130,0,Open
1728496187.8869855,597,135,0,Open
1728496187.8888452,589,140,0,Open
1728496187.89031,770,144,0,Open
1728496187.8920152,682,149,0,Open
1728496187.8935442,583,154,0,Open
1728496187.8953404,489,159,0,Open
1728496187.896804,480,164,0,Open
1728496187.898365,479,169,0,Open
1728496187.8999703,456,174,0,Open
1728496187.9015138,470,179,0,Open
1728496187.9031758,480,184,0,Open
1728496187.9047942,479,189,0,Open
1728496187.9075985,480,194,0,Open
1728496187.9092906,523,199,0,Open
1728496187.9119313,673,204,0,Open
1728496187.9137974,728,208,0,Open
1728496187.915221,595,213,0,Open
1728496187.9168053,507,218,0,Open
1728496187.9186149,480,223,0,Open
1728496187.9203763,477,228,0,Open
1728496187.922043,471,233,0,Open
1728496187.923609,466,238,0,Open
1728496187.9252443,479,243,0,Open
1728496187.9268205,478,247,0,Open
1728496187.9284103,480,252,0,Open
1728496187.9299762,521,257,0,Open
1728496187.931536,543,262,0,Open
1728496187.9334009,709,267,0,Open
1728496187.9355495,666,272,0,Open
1728496187.9371512,556,276,0,Open
1728496187.9387867,479,281,0,Open
1728496187.9407744,479,286,0,Open
1728496187.9420178,469,291,0,Open
1728496187.9435892,476,296,0,Open
1728496187.9450903,472,300,0,Open
